MSIDN,IMSI,IMEI,PLAN,CALL_TYPE,CORRESP_TYPE,CORRESP_ISDN,DURATION,TIME,DATE ,Column1,_1
68373748102,208100167682477,3.51905E+11,PLAN1,MOC,CUST1,612287077,247,12,7,12,01-01-2012
68373748102,208100167682477,3.51905E+11,PLAN1,MTC,CUST2,600000001,300,12,15,9,01-01-2012
68373748102,208100167682477,3.51905E+11,PLAN1,SMS-MO,CUST1,613637193,0,12,18,18,01-01-2012
68373748102,208100167682477,3.51905E+11,PLAN1,SMS-MT,CUST1,612899062,0,12,21,7,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,MOC,CUST1,612283725,90,12,0,0,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,MOC,CUST1,613069656,82,12,2,27,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,MOC,CUST1,613481951,78,12,4,41,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,MTC,CUST2,600000001,92,12,7,13,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,MTC,CUST2,600000002,94,12,9,40,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,MTC,CUST1,612063352,114,12,12,40,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,SMS-MO,CUST1,613103364,0,12,13,42,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,SMS-MO,CUST1,613751973,0,12,14,44,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,SMS-MO,CUST1,613672843,0,12,15,44,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,SMS-MT,CUST1,612769488,0,12,16,42,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,SMS-MT,CUST1,613164676,0,12,17,39,01-01-2012
65978198280,208100310191699,3.56008E+11,PLAN3,SMS-MT,CUST1,613399901,0,12,18,39,01-01-2012
67599860569,208120276653317,3.53298E+11,PLAN2,MOC,CUST1,612089847,116,12,0,0,01-01-2012
